"Half","Symbol","Total Revenue","Cost of Revenue","Gross Profit","Operating Expenses","Research Development","Selling General and Administrative","Total Operating Expenses","Operating Income or Loss","Total Other Income/Expenses Net","Earnings Before Interest And Taxes","Interest Expense","Income Before Tax","Net Income From Continuing Ops","Cash And Cash Equivalents","Short Term Investments","Net Receivables","Inventory","Other Current Assets","Total Current Assets","Long Term Investments","Property Plant and Equipment","Goodwill","Intangible Assets","Accumulated Amortization","Other Assets","Total Assets","Accounts Payable","Short/Current Long Term Debt","Total Current Liabilities","Long Term Debt","Deferred Long Term Liability Charges","Total Liabilities","Common Stock","Retained Earnings","Total Stockholder Equity","Net Tangible Assets","Depreciation","Changes In Accounts Receivables","Changes In Liabilities","Changes In Inventories","Changes In Other Operating Activities","Total Cash Flow From Operating Activities","Capital Expenditures","Investments","Other Cash flows from Investing Activities","Total Cash Flows From Investing Activities","Dividends Paid","Sale Purchase of Stock","Net Borrowings","Total Cash Flows From Financing Activities","Effect Of Exchange Rate Changes","Change In Cash and Cash Equivalents","name","isin","treat","cnt","avg","shares","trades","turnover"
"1","ATEB","16000","9000","8000","13000","0","0","13000","3000","0","3000","-1000","0","1000","2000","37000","33000","261000","1000","334000","11000","0","0","0","0","0","377000","16000","214000","87000","164000","0","272000","45000","12000","0","0","0","-5000","0","-8000","-12000","-23000","0","0","0","-6000","0","0","0","28000","0","-2000","ATENOR GROUP","BE0003837540","0","129","32.79","1746.72","17.19","57623.67"
"1","BANI","1000","3000","-2000","5000","0","0","5000","-4000","0","-4000","-2000","0","-6000","4000","0","13000","152000","0","169000","40000","0","0","0","0","0","357000","21000","208000","40000","193000","0","241000","132000","0","0","0","0","-1000","0","0","0","0","0","0","0","17000","0","0","0","-16000","0","1000","BANIMMO A","BE0003870871","0","130","8.94","2146.92","10.18","18964.24"
"1","PIC","128000","97000","31000","106000","0","0","106000","22000","0","22000","0","0","15000","40000","0","79000","53000","0","174000","189000","0","0","0","0","0","421000","52000","14000","111000","0","3000","132000","23000","262000","0","0","2000","0","0","0","4000","20000","-4000","0","0","-99000","0","0","0","-2000","-1000","-81000","PICANOL","BE0003807246","0","130","24.08","5063.75","50.63","123026.5"
"1","REA","66000","64000","3000","64000","0","0","64000","3000","0","3000","0","0","2000","23000","0","72000","2000","1000","98000","0","0","0","0","0","0","222000","16000","20000","64000","15000","0","85000","71000","67000","0","0","1000","0","0","0","1000","3000","0","0","0","0","0","0","0","0","0","3000","REALDOLMEN","BE0003899193","0","130","16.66","5614.88","41.43","93363.98"
"1","REC","172000","136000","36000","171000","0","0","171000","1000","0","1000","-2000","0","-13000","26000","0","103000","94000","4000","235000","73000","0","0","0","0","0","612000","82000","165000","265000","81000","1000","426000","179000","34000","0","0","5000","7000","0","1000","8000","-6000","-2000","0","0","2000","0","0","0","-1000","0","-4000","RECTICEL","BE0003656676","0","130","5.16","36308.07","92.38","186924.58"
"1","RES","72000","58000","13000","68000","0","0","68000","3000","0","3000","-1000","0","2000","6000","0","40000","42000","2000","90000","0","0","0","0","0","0","183000","39000","50000","71000","26000","0","104000","34000","0","0","0","4000","-2000","0","0","4000","3000","-4000","0","0","-5000","0","0","0","2000","0","0","RESILUX","BE0003707214","0","130","75.26","2009.18","47.98","155967.74"
"1","RET","14000","2000","11000","3000","0","0","3000","11000","0","11000","-4000","0","7000","2000","0","2000","0","5000","10000","0","0","0","0","0","0","756000","0","374000","34000","352000","0","399000","254000","58000","0","0","0","2000","0","0","-3000","0","0","0","0","-22000","0","0","0","1000","0","-20000","RETAIL ESTATES","BE0003720340","0","130","55.73","1961.83","27.08","108907.88"
"1","RHJI","43000","2000","41000","41000","0","0","41000","2000","0","2000","-15000","0","-9000","202000","0","886000","0","1000","2456000","113000","0","0","0","0","0","2958000","2000","2000","2202000","1000","0","2436000","508000","30000","0","0","0","3000","0","0","44000","34000","0","0","0","-146000","0","0","0","0","10000","-102000","RHJ INTERNATIONAL","BE0003815322","0","130","3.81","66351.75","84.92","253913.58"
"1","ROU","164000","103000","61000","163000","0","0","163000","1000","0","1000","-2000","0","-26000","28000","23000","185000","19000","47000","302000","4000","0","0","0","0","0","852000","163000","128000","283000","121000","0","554000","204000","104000","0","0","2000","-1000","0","0","1000","0","-1000","0","0","9000","0","0","0","-7000","0","2000","ROULARTA","BE0003741551","0","130","11.25","1637.12","10.62","18507.7"
"1","RTL","1841000","685000","1156000","1440000","0","0","1440000","401000","0","401000","-4000","0","355000","574000","12000","1654000","15000","1004000","3345000","401000","0","0","0","0","0","7567000","1673000","567000","2886000","530000","0","3974000","192000","0","0","0","-33000","0","0","0","-3000","427000","-32000","0","0","76000","0","0","0","-298000","-2000","198000","RTL GROUP","LU0061462528","0","130","74.07","43223.53","387.15","3298765.3"
"1","SAP","0","0","0","0","0","0","0","0","0","0","0","0","0","21000","0","92000","89000","10000","212000","1000","0","0","0","0","0","364000","10000","175000","147000","82000","0","265000","44000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SAPEC","BE0003625366","0","128","47.13","304.66","7.13","14252.16"
"1","SIOE","81000","64000","17000","75000","0","0","75000","5000","0","5000","-1000","0","5000","41000","37000","53000","85000","3000","219000","0","0","0","0","0","0","347000","29000","134000","75000","100000","0","195000","46000","114000","0","0","4000","4000","0","4000","0","14000","-1000","0","0","-11000","0","0","0","-3000","0","0","SIOEN","BE0003743573","0","130","7.62","13131.38","44.06","102156.17"
"1","SIP","70000","57000","13000","64000","0","0","64000","6000","0","6000","0","0","19000","21000","0","46000","37000","8000","111000","15000","0","0","0","0","0","710000","15000","52000","93000","0","0","168000","67000","0","0","0","4000","0","0","0","1000","18000","-18000","0","0","-19000","0","0","0","-9000","0","-11000","SIPEF","BE0003898187","0","130","52.2","3184.32","60.62","165643.93"
