COMP,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Research Development,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest And Taxes,Interest Expense,Income Before Tax,Net Income From Continuing Ops,Net Income,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Total Assets,Accounts Payable,Short/Current Long Term Debt,Total Current Liabilities,Long Term Debt,Deferred Long Term Liability Charges,Total Liabilities,Common Stock,Retained Earnings,Total Stockholder Equity,Net Tangible Assets,Net Income,Depreciation,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
CFEB,592000,369000,223000,568000,0,0,568000,24000,24000,0,24000,-10000,0,-44000,0,475000,1000,1117000,216000,101000,1909000,42000,0,0,0,0,0,4161000,1046000,1287000,1951000,859000,0,2958000,841000,358000,0,0,0,32000,17000,0,-1000,0,65000,-13000,0,0,73000,0,0,0,-13000,1000,126000
VGP,4000,1000,4000,3000,0,0,3000,2000,2000,0,2000,-1000,0,8000,0,79000,0,10000,0,0,89000,1000,0,0,0,0,0,366000,6000,171000,28000,160000,0,200000,113000,104000,0,0,0,0,0,0,0,0,5000,0,0,0,-40000,0,0,0,70000,0,36000
COFB,68000,18000,50000,20000,0,0,20000,48000,48000,0,48000,-17000,0,22000,0,9000,0,72000,0,51000,132000,37000,0,0,0,0,0,3715000,78000,1745000,357000,1538000,0,2042000,1315000,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDXH,2000,2000,0,6000,0,0,6000,-4000,-4000,0,-4000,0,0,-4000,0,25000,0,2000,0,0,28000,0,0,0,0,0,0,29000,3000,0,5000,0,0,5000,79000,-56000,0,0,0,0,0,0,0,0,-4000,0,0,0,-1000,0,0,0,0,0,-4000
SOLV,0,0,0,0,0,0,0,0,0,0,0,-2000,0,14000,0,1000,0,34000,0,0,35000,2516000,0,0,0,0,0,2551000,0,151000,52000,110000,0,162000,311000,2085000,0,0,0,0,0,0,0,-4000,17000,0,0,0,0,0,0,0,-17000,0,0
ELI,346000,183000,163000,260000,0,0,260000,86000,86000,0,86000,-31000,0,49000,0,438000,0,407000,16000,9000,870000,100000,0,0,0,0,0,6532000,227000,3199000,1478000,2626000,0,4323000,1516000,712000,0,0,0,34000,54000,0,0,29000,212000,-162000,0,0,-168000,0,0,0,0,0,44000
SCHD,11000,6000,5000,11000,0,0,11000,0,0,0,0,0,0,0,0,0,0,5000,24000,0,29000,0,0,0,0,0,0,44000,3000,11000,16000,1000,0,18000,4000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,5000,24000,0,0,0,0,0,29000,0,0,1000,0,0,1000,8000,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYR,697000,382000,315000,607000,0,0,607000,90000,90000,0,90000,-9000,0,-52000,0,292000,0,181000,516000,15000,1033000,46000,0,0,0,0,0,3220000,436000,962000,997000,839000,3000,2350000,1650000,-506000,0,0,0,89000,21000,0,13000,19000,102000,-41000,0,0,-41000,0,0,0,36000,-7000,90000
ABO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,0,0,0,0,0,3000,1000,1000,2000,1000,0,4000,138000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
