quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover	comp	totalrevenue	costofrevenue	grossprofit	operatingexpenses	researchdevelopment	sellinggeneralandadministrative	totaloperatingexpenses	operatingincomeorloss	v20	totalotherincomeexpensesnet	earningsbeforeinterestandtaxes	interestexpense	incomebeforetax	netincomefromcontinuingops	netincome	cashandcashequivalents	shortterminvestments	netreceivables	inventory	othercurrentassets	totalcurrentassets	longterminvestments	propertyplantandequipment	goodwill	intangibleassets	accumulatedamortization	otherassets	totalassets	accountspayable	shortcurrentlongtermdebt	totalcurrentliabilities	longtermdebt	deferredlongtermliabilitycharges	totalliabilities	commonstock	retainedearnings	totalstockholderequity	nettangibleassets	v50	depreciation	changesinaccountsreceivables	changesinliabilities	changesininventories	changesinotheroperatingactivitie	totalcashflowfromoperatingactivi	capitalexpenditures	investments	othercashflowsfrominvestingactiv	totalcashflowsfrominvestingactiv	dividendspaid	salepurchaseofstock	netborrowings	totalcashflowsfromfinancingactiv	effectofexchangeratechanges	changeincashandcashequivalents
2	AGFA-GEVAERT	BE0003755692	AGFB	0	63	2.0935657	364140.81	255.93651	763404.75	AGFB	622000	440000	182000	607000	0	0	607000	15000	15000	0	15000	-4000	0	1000	0	142000	0	790000	544000	33000	1509000	11000	0	0	0	0	0	2559000	225000	333000	813000	313000	0	2192000	397000	663000	0	0	0	18000	11000	0	-4000	-29000	31000	-6000	0	0	-1000	0	0	0	-13000	-2000	15000
2	DELHAIZE GROUP	BE0003562700	DELB	0	63	48.315742	537309.31	4692.6191	25919792	DELB	5120000	3891000	1229000	4961000	0	0	4961000	159000	159000	0	159000	-47000	0	90000	0	1147000	219000	680000	1319000	277000	3642000	55000	0	0	0	0	0	11454000	1799000	2798000	2963000	2025000	0	6298000	5150000	0	0	0	0	144000	0	0	0	-154000	121000	-79000	0	0	-102000	0	0	0	-13000	-1000	5000
2	EVS BROADC.EQUIPM.	BE0003820371	EVS	0	63	45.911266	34094.953	495.25397	1564233.4	EVS	29000	7000	22000	19000	0	0	19000	10000	10000	0	10000	0	0	7000	0	23000	0	33000	18000	0	74000	9000	0	0	0	0	0	123000	6000	9000	34000	8000	0	45000	8000	72000	0	0	0	1000	2000	0	-2000	4000	13000	-4000	0	0	-4000	0	0	0	2000	0	11000
2	WDP	BE0003763779	WDP	0	63	53.674385	12145.396	177.90475	650553.88	WDP	23000	1000	23000	2000	0	0	2000	21000	21000	0	21000	-6000	0	11000	0	1000	0	11000	0	5000	17000	26000	0	0	0	0	0	1320000	0	709000	238000	488000	0	783000	302000	11000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	GIMV	BE0003699130	GIMB	0	65	37.14053	14505.369	187.26154	539156.38	GIMB	-42000	-29000	-12000	-61000	0	0	-61000	19000	19000	0	19000	0	0	3000	0	41000	15000	23000	0	6000	86000	795000	0	0	0	0	0	1027000	1000	0	14000	0	0	24000	270000	722000	0	0	0	-2000	4000	0	1000	0	7000	6000	0	0	-32000	0	0	0	2000	0	-24000
1	HAMON	BE0003700144	HAMO	0	65	14.936585	3346.6616	26.676924	50611.469	HAMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	0	235000	13000	10000	379000	3000	0	0	0	0	0	516000	105000	178000	340000	89000	10000	448000	16000	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	IBA	BE0003766806	IBAB	0	65	6.875442	32554.416	99.738464	225225.3	IBAB	58000	34000	23000	58000	0	0	58000	0	0	0	0	-1000	0	-3000	0	29000	0	82000	73000	5000	188000	36000	0	0	0	0	0	282000	31000	47000	161000	41000	0	215000	64000	3000	0	0	0	0	-3000	0	15000	-1000	16000	0	0	0	6000	0	0	0	-18000	-1000	4000
1	KBC ANCORA	BE0003867844	KBCA	0	65	24.246437	98760.336	519.06152	2388005.8	KBCA	26000	1000	25000	1000	0	0	1000	25000	25000	0	25000	-7000	0	18000	0	0	0	0	0	0	0	2442000	0	0	0	0	0	2442000	0	380000	17000	375000	0	392000	2022000	28000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MOBISTAR	BE0003735496	MOBB	0	65	13.356894	122709.7	554.23077	1641232.8	MOBB	357000	246000	111000	329000	0	0	329000	29000	29000	0	29000	-1000	0	15000	0	14000	0	229000	21000	3000	279000	3000	0	0	0	0	0	1450000	352000	571000	493000	549000	0	1113000	132000	205000	0	0	0	42000	16000	0	4000	0	66000	-125000	0	0	-109000	0	0	0	44000	0	1000
1	NYRSTAR	BE0003876936	NYR	0	65	2.09359	1004849.4	704.52307	1996842.8	NYR	697000	382000	315000	607000	0	0	607000	90000	90000	0	90000	-9000	0	-52000	0	292000	0	181000	516000	15000	1033000	46000	0	0	0	0	0	3220000	436000	962000	997000	839000	3000	2350000	1650000	-506000	0	0	0	89000	21000	0	13000	19000	102000	-41000	0	0	-41000	0	0	0	36000	-7000	90000
1	ACKERMANS V.HAAREN	BE0003764785	ACKB	0	65	79.851402	28172.83	570.21539	2246243.8	ACKB	166000	56000	110000	126000	0	0	126000	40000	40000	0	40000	-19000	0	111000	0	767000	665000	2323000	137000	59000	3951000	1223000	0	0	0	0	0	10888000	1053000	2034000	5338000	1258000	1000	7610000	114000	0	0	0	0	3000	1000	0	2000	94000	139000	-11000	0	0	-190000	0	0	0	80000	0	253000
1	AGFA-GEVAERT	BE0003755692	AGFB	0	65	1.6805737	262995.97	143.38461	439071.88	AGFB	739000	511000	228000	612000	0	0	612000	127000	127000	0	127000	-5000	0	44000	0	126000	0	788000	542000	46000	1502000	11000	0	0	0	0	0	2568000	239000	343000	803000	319000	3000	2200000	397000	664000	0	0	0	0	-15000	0	50000	-57000	50000	-12000	0	0	-10000	0	0	0	-15000	-3000	22000
1	ATENOR GROUP	BE0003837540	ATEB	0	65	33.850994	1887.4923	19.276922	63717.27	ATEB	16000	9000	8000	13000	0	0	13000	3000	3000	0	3000	-1000	0	1000	0	2000	37000	33000	261000	1000	334000	11000	0	0	0	0	0	377000	16000	214000	87000	164000	0	272000	45000	12000	0	0	0	0	-5000	0	-8000	-12000	-23000	0	0	0	-6000	0	0	0	28000	0	-2000
1	BANIMMO A	BE0003870871	BANI	0	65	8.8735743	1851.123	8.8769226	16403.883	BANI	1000	3000	-2000	5000	0	0	5000	-4000	-4000	0	-4000	-2000	0	-6000	0	4000	0	13000	152000	0	169000	40000	0	0	0	0	0	357000	21000	208000	40000	193000	0	241000	132000	0	0	0	0	0	-1000	0	0	0	0	0	0	0	17000	0	0	0	-16000	0	1000
1	BARCO	BE0003790079	BAR	0	65	56.270695	24850.199	459.79999	1399087	BAR	280000	185000	95000	263000	0	0	263000	17000	17000	0	17000	-1000	0	14000	0	157000	0	221000	212000	1000	598000	12000	0	0	0	0	0	1048000	114000	71000	401000	56000	93000	468000	198000	467000	0	0	0	6000	5000	0	17000	12000	64000	0	0	0	-24000	0	0	0	3000	-2000	40000
1	BEFIMMO	BE0003678894	BEFB	0	65	51.696892	19605.199	337.75385	1010947.6	BEFB	37000	6000	30000	10000	0	0	10000	27000	27000	0	27000	-7000	0	18000	0	2000	0	19000	0	6000	27000	15000	0	0	0	0	0	2249000	25000	994000	357000	724000	0	1084000	983000	144000	0	0	0	0	0	0	0	6000	29000	0	0	0	-14000	0	0	0	-15000	0	0
