season	tic	treat	avg	COMP	Total_Revenue	Cost_of_Revenue	Gross_Profit	Operating_Expenses	Research_Development	Selling_General_and_Administrative	Total_Operating_Expenses	Operating_Income_or_Loss	Operating_Income_or_Loss	Total_Other_Income/Expenses_Net	Earnings_Before_Interest_And_Taxes	Interest_Expense	Income_Before_Tax	Net_Income_From_Continuing_Ops	Net_Income	Cash_And_Cash_Equivalents	Short_Term_Investments	Net_Receivables	Inventory	Other_Current_Assets	Total_Current_Assets	Long_Term_Investments	Property_Plant_and_Equipment	Goodwill	Intangible_Assets	Accumulated_Amortization	Other_Assets	Total_Assets	Accounts_Payable	Short/Current_Long_Term_Debt	Total_Current_Liabilities	Long_Term_Debt	Deferred_Long_Term_Liability_Charges	Total_Liabilities	Common_Stock	Retained_Earnings	Total_Stockholder_Equity	Net_Tangible_Assets	Net_Income	Depreciation	Changes_In_Accounts_Receivables	Changes_In_Liabilities	Changes_In_Inventories	Changes_In_Other_Operating_Activities	Total_Cash_Flow_From_Operating_Activities	Capital_Expenditures	Investments	Other_Cash_flows_from_Investing_Activities	Total_Cash_Flows_From_Investing_Activities	Dividends_Paid	Sale_Purchase_of_Stock	Net_Borrowings	Total_Cash_Flows_From_Financing_Activities	Effect_Of_Exchange_Rate_Changes	Change_In_Cash_and_Cash_Equivalents
2	COLR	0	40.210649606299214	COLR	2200000	1686000	514000	2082000	0	0	2082000	118000	118000	0	118000	0	0	87000	0	603000	17000	522000	575000	5000	1742000	160000	0	0	0	0	0	3722000	1047000	32000	1593000	11000	0	1755000	261000	1996000	0	0	0	49000	14000	0	-5000	2000	186000	-107000	0	0	-102000	0	0	0	-90000	0	-6000
1	SIP	0	60.26683070866143	SIP	70000	57000	13000	64000	0	0	64000	6000	6000	0	6000	0	0	19000	0	21000	0	46000	37000	8000	111000	15000	0	0	0	0	0	710000	15000	52000	93000	0	0	168000	67000	0	0	0	0	4000	0	0	0	1000	18000	-18000	0	0	-19000	0	0	0	-9000	0	-11000
3	SIP	0	60.26683070866143	SIP	79000	55000	24000	62000	0	0	62000	17000	17000	0	17000	0	0	17000	0	41000	0	56000	36000	3000	136000	81000	0	0	0	0	0	766000	25000	61000	133000	0	0	205000	67000	0	0	0	0	4000	0	0	0	0	17000	-11000	0	0	-9000	0	0	0	4000	0	12000
1	TNET	0	43.71840551181101	TNET	417000	236000	181000	309000	0	0	309000	108000	108000	0	108000	-65000	0	-37000	0	214000	0	175000	15000	7000	432000	1000	0	0	0	0	0	3402000	142000	3868000	768000	3473000	0	4872000	45000	-2393000	0	0	0	36000	-7000	0	0	49000	189000	-60000	0	0	-73000	0	0	0	-11000	0	105000
2	TNET	0	43.71840551181101	TNET	417000	212000	205000	269000	0	0	269000	148000	148000	0	148000	-66000	0	39000	0	216000	0	131000	16000	84000	447000	0	0	0	0	0	0	3410000	112000	3875000	723000	3802000	0	4864000	973000	-2427000	0	0	0	75000	0	0	0	-20000	151000	-84000	0	0	-119000	0	0	0	-30000	0	2000
3	TNET	0	43.71840551181101	TNET	422000	233000	189000	292000	0	0	292000	130000	130000	0	130000	-65000	0	10000	0	182000	0	185000	14000	8000	418000	1000	0	0	0	0	0	3405000	165000	3737000	826000	3657000	0	4840000	61000	-2368000	0	0	0	62000	-25000	0	0	26000	193000	-52000	0	0	-65000	0	0	0	-162000	0	-34000
1	TERB	0	58.27637795275589	TERB	102000	75000	27000	98000	0	0	98000	4000	4000	0	4000	0	0	2000	0	7000	0	65000	24000	0	96000	5000	0	0	0	0	0	241000	57000	58000	92000	39000	0	141000	53000	46000	0	0	0	4000	0	0	1000	0	8000	-3000	0	0	-2000	0	0	0	-6000	0	0
3	TERB	0	58.27637795275589	TERB	100000	71000	28000	97000	0	0	97000	3000	3000	0	3000	0	0	2000	0	10000	0	56000	23000	0	89000	4000	0	0	0	0	0	231000	54000	57000	90000	33000	0	132000	53000	46000	0	0	0	4000	4000	0	1000	0	8000	-3000	0	0	-3000	0	0	0	-3000	0	1000
1	TEXF	0	36.03946850393701	TEXF	5000	1000	4000	3000	0	0	3000	2000	2000	0	2000	0	0	2000	0	7000	0	3000	5000	0	15000	0	0	0	0	0	0	108000	2000	5000	10000	2000	0	41000	8000	0	0	0	0	1000	0	0	0	0	2000	-2000	0	0	-1000	0	0	0	0	0	1000
3	TEXF	0	36.03946850393701	TEXF	5000	0	4000	3000	0	0	3000	2000	2000	0	2000	0	0	1000	0	5000	0	2000	5000	1000	13000	0	0	0	0	0	0	107000	4000	3000	6000	3000	0	38000	22000	0	0	0	0	1000	0	0	0	0	1000	-2000	0	0	-1000	0	0	0	-1000	0	-1000
