quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover
4	WAREHOUSES-SICAFI	BE0003734481	WEB	0	62	60.08286332693353	523.741935483871	5.161290322580645	31418.78096774193
4	WDP	BE0003763779	WDP	0	67	56.23503517395282	10363.223880597016	177.56716417910448	581528.3264179104
4	WERELDHAV B-SICAFI	BE0003724383	WEHB	0	64	97.43555695439849	1037.296875	49.015625	100789.57203125002
4	ZENITEL	BE0003806230	ZENT	1	58	0.9309204274731329	8320.241379310344	4.189655172413793	7764.210172413793
4	ZETES INDUSTRIES	BE0003827442	ZTS	1	67	21.093358891267453	3906.5671641791046	28.52238805970149	83742.63447761194
4	SIOEN	BE0003743573	SIOE	1	67	11.512944158100362	16805.298507462685	105.53731343283582	192802.7013432835
4	SIPEF	BE0003898187	SIP	0	67	57.481542342920704	4166.223880597015	87.74626865671642	228331.68059701496
4	SMARTPHOTO GROUP	BE0003663748	SMAR	1	65	0.36242219557657956	15350.63076923077	6.1692307692307695	5658.382153846153
4	SOFINA	BE0003717312	SOF	0	67	85.31925324233717	6380.089552238806	147.34328358208955	544629.0837313432
4	TELENET GROUP	BE0003826436	TNET	1	67	42.08081466062388	107903.65671641791	1200.3880597014925	4529218.0588059705
4	TER BEKE	BE0003573814	TERB	0	67	58.99730647415623	423.3134328358209	9.985074626865671	25190.26776119403
4	TESSENDERLO	BE0003555639	TESB	1	67	20.470223814627	51921.02985074627	360.34328358208955	1073024.294477612
4	TEXAF	BE0974263924	TEXF	1	67	35.30268639368602	515.6865671641791	8.388059701492537	17750.521940298513
4	THROMBOGENICS	BE0003846632	THR	1	67	8.678000403430737	111957.59701492537	545.1641791044776	979279.0459701488
4	TIGENIX	BE0003864817	TIG	1	67	0.564298433623567	295563.25373134325	108.02985074626865	168776.61238805976
4	TUBIZE-FIN	BE0003823409	TUB	0	67	57.68387662872013	10947.522388059702	138.37313432835822	635530.2758208954
3	4ENERGY INVEST	BE0974275076	ENINV	1	62	3.6493364686531633	3982.967741935484	13.758064516129032	15437.624838709677
3	AB INBEV	BE0003793107	ABI	0	63	80.14565963262378	1462887.5396825396	10542.317460317461	117176101.85714287
3	ABLYNX	BE0003877942	ABLX	1	62	8.989638779235678	101714.67741935483	449.241935483871	916041.7638709679
3	ACCENTIS	BE0003696102	ACCB	1	61	0.013735339022392143	322660.91803278687	6.278688524590164	4468.501803278688
3	ACKERMANS V.HAAREN	BE0003764785	ACKB	0	63	92.4199483065166	30134.809523809523	731.1904761904761	2783278.3407936506
3	AEDIFICA	BE0003851681	AED	0.2857142857142857	63	50.446007661811315	7618.412698412699	144.15873015873015	383747.176031746
3	AGEAS	BE0974264930	AGS	1	63	30.65280002430192	461142.5396825397	2820.7619047619046	14094657.864603171
3	AGFA-GEVAERT	BE0003755692	AGFB	1	63	2.3934584839909254	372861.55555555556	407.6031746031746	888722.0909523811
3	ASCENCIO	BE0003856730	ASC	0	63	51.919814881233094	3640.3174603174602	13.031746031746032	188987.636031746
3	ATENOR GROUP	BE0003837540	ATEB	1	63	39.16278129460973	1987.1587301587301	28.365079365079364	78256.8257142857
